thickness;diameter;weight
4;250;2.8
4;300;3.9
4;350;5.2
4;400;6.6
4;450;8.2
4;500;9.9
4;550;11.8
4;600;13.9
4;650;16.2
4;700;18.7
4;800;24
5;250;3.6
5;300;4.9
5;350;6.5
5;400;8.3
5;450;10.3
5;500;12.5
5;550;14.9
5;600;17.5
5;650;20.3
5;700;23.4
5;800;30.1
5;900;37.7
5;1000;46.2
6;250;4.3
6;300;6
6;350;7.8
6;400;10
6;450;12.4
6;500;15
6;550;17.8
6;600;21.1
6;650;24.5
6;700;28.2
6;800;36.3
6;900;45.4
6;1000;55.5
6;1100;66.7
6;1200;78.9
6;1300;92.1
6;1400;106.4
6;1500;121.6
6;1600;137.9
6;1700;159
6;1800;177.5
6;1900;197.1
6;2000;217.7
8;250;5.9
8;300;8
8;350;10.6
8;400;13.4
8;450;16.6
8;500;20.2
8;550;24.1
8;600;28.3
8;650;32.9
8;700;37.8
8;800;48.6
8;900;60.8
8;1000;74.4
8;1100;89.3
8;1200;105.6
8;1300;123.3
8;1400;146.4
8;1500;167.1
8;1550;177.4
8;1600;189.1
8;1700;212.5
8;1750;224.1
8;1800;237.3
8;1900;263.4
8;1950;276.3
8;2000;290.9
8;2200;350
8;2400;414.5
8;2500;448.7
8;2600;484.4
8;2800;559.8
8;3000;640.6
10;250;7.4
10;300;10.2
10;350;13.4
10;400;17
10;450;21
10;500;25.5
10;550;30.3
10;600;35.6
10;650;41.4
10;700;47.5
10;800;61.1
10;900;76.4
10;1000;93.4
10;1100;116.2
10;1200;137
10;1300;159.5
10;1400;183.6
10;1500;209.5
10;1550;222.3
10;1600;237.1
10;1700;266.4
10;1750;280.8
10;1800;297.4
10;1900;330.1
10;1950;346
10;2000;364.5
10;2200;438.4
10;2400;519.1
10;2500;562
10;2600;619.5
10;2800;714.8
10;3000;816.9
10;3200;925.8
12;250;9.1
12;300;12.4
12;350;16.2
12;400;20.6
12;450;25.5
12;500;30.8
12;550;36.7
12;600;43.1
12;650;50
12;700;57.4
12;800;73.8
12;900;96.2
12;1000;117.1
12;1100;140
12;1200;165
12;1300;192
12;1400;221.1
12;1500;252.2
12;1550;267.5
12;1600;285.3
12;1700;320.5
12;1750;337.7
12;1800;357.8
12;1900;397.1
12;1950;416
12;2000;438.4
12;2200;540.2
12;2400;638.4
12;2500;690.5
12;2600;744.7
12;2800;859.1
12;3000;981.8
12;3200;1112.6
12;3400;1251.6
12;3600;1398.8
14;250;10.8
14;300;14.7
14;350;19.2
14;400;24.3
14;450;30
14;500;36.3
14;550;43.2
14;600;50.6
14;650;58.7
14;700;67.4
14;800;90.8
14;900;112.8
14;1000;137.2
14;1100;164
14;1200;193.2
14;1300;224
14;1400;258.8
14;1500;295.1
14;1600;333.9
14;1700;375
14;1800;418.5
14;1900;477.6
14;2000;526.5
14;2200;631.6
14;2400;746.2
14;2500;807.1
14;2600;870.3
14;2800;1004
14;3000;1147.2
14;3200;1299.9
14;3400;1462.2
14;3600;1634
14;3800;1815.4
16;250;12.5
16;300;17
16;350;22.2
16;400;28
16;450;34.6
16;500;41.8
16;550;49.7
16;600;58.3
16;650;71.5
16;700;81.8
16;800;104.3
16;900;129.6
16;1000;157.5
16;1100;188.2
16;1200;221.7
16;1300;257.8
16;1400;296.7
16;1500;338.3
16;1600;382.6
16;1700;443.2
16;1800;493.8
16;1900;547.1
16;2000;603.1
16;2200;723.3
16;2400;854.4
16;2500;924.1
16;2600;996.4
16;2800;1149.3
16;3000;1313.1
16;3200;1487.8
16;3400;1673.4
16;3600;1869.9
16;3800;2107.4
16;4000;2327.2
16;4500;2924.5
18;400;31.9
18;450;39.3
18;500;47.4
18;550;56.4
18;600;70.2
18;650;81
18;700;92.5
18;800;118
18;900;146.5
18;1000;178
18;1100;212.6
18;1200;250.3
18;1300;291.1
18;1400;334.9
18;1500;395.2
18;1600;446.1
18;1700;500
18;1800;556.9
18;1900;617
18;2000;680
18;2200;815.4
18;2400;963.1
18;2500;1041.5
18;2600;1123
18;2800;1295.1
18;3000;1479.5
18;3200;1676.2
18;3400;1915.5
18;3600;2138.4
18;3800;2373.7
18;4000;2621.7
18;4500;3293.5
20;400;35.8
20;450;44.1
20;500;53.2
20;550;67.3
20;600;78.5
20;650;90.6
20;700;103.5
20;800;131.8
20;900;163.5
20;1000;198.7
20;1100;237.2
20;1200;279.3
20;1300;324.5
20;1400;387.3
20;1500;440.5
20;1600;497
20;1700;557
20;1800;620.4
20;1900;687.1
20;2000;757.3
20;2200;907.9
20;2400;1072.1
20;2500;1159.3
20;2600;1249.9
20;2800;1441.4
20;3000;1676.2
20;3200;1896.9
20;3400;2131.2
20;3600;2379.1
20;3800;2640.6
20;4000;2915.8
20;4500;3663.2
22;400;39.8
22;500;63.2
22;600;87
22;700;114.5
22;800;145.8
22;900;180.8
22;1000;219.5
22;1100;262
22;1200;321.5
22;1300;371.6
22;1400;427.4
22;1500;485.9
22;1600;548.2
22;1700;610
22;1800;684.1
22;2000;834.9
22;2200;1000.8
22;2400;1181.6
22;2500;1277.6
22;2600;1377.3
22;2800;1618.8
22;3000;1846.7
